Utterance,Original_Labels,DeepSeek
It's all right. (neutral),Statement Non Opinion,Acknowledge
It's all right. (neutral),Statement Non Opinion,Acknowledge
You don't have to explain. (neutral),Statement Non Opinion,Command
This isn't the first boyfriend bonfire that we've seen get out of control. (neutral),Statement Non Opinion,Statement Non Opinion
You're our third call tonight. (neutral),Statement Non Opinion,Statement Non Opinion
Really? (surprise),Question,Question
"Oh, sure, Valentine's is our busiest night of the year. (neutral)",Answer,Statement Non Opinion
"I'm so sorry, you guys. I didn't mean to bring you down. (sadness)",Apology,Apology
"No, you were right. I don't have a plan. (neutral)",Agreement,Agreement
Thank God. Food. (joy),Greeting,Statement Non Opinion
Phoebe? (neutral),Question,Question
What? (neutral),Answer,Question
Do you have a plan? (neutral),Question,Question
I don't even have a 'pl'. (joy),Answer,Statement Non Opinion
"No, no, that's not what we ordered... We ordered a fat-free crust with extra cheese. (sadness)",Statement Non Opinion,Disagreement
Wait! Did you say 'G.Stephanopoulos?' (surprise),Question,Question
"Wait, was this a-a small mediterranean guy with curiously intelligent good looks? (surprise)",Question,Question
Was he wearing a stunning blue suit? (joy),Question,Question
And-and a power tie? (joy),Question,Question
Oh God. (surprise),Others,Acknowledge
Are you nuts?! We've got George Stephanopoulos' pizza! (surprise),Statement Non Opinion,Question
"Uh, Pheebs? Who's George Snuffalopagus? (neutral)",Question,Question
Big Bird's friend. (neutral),Answer,Statement Non Opinion
I see pizza! (joy),Statement Non Opinion,Statement Non Opinion
"Oh, I wanna see! Lemme see! Lemme see! (joy)",Statement Non Opinion,Command
Hello? Who are we spying on? (sadness),Question,Question
"Hey, y'know what a really good rainy day game is? (neutral)",Question,Question
What?! (neutral),Question,Question
"I mean naked game. Strip poker, we should totally play strip poker. (joy)",Answer,Statement Opinion
"No, no! (disgust)",Disagreement,Disagreement
What are you crazy?! (disgust),Question,Question
"Come on! When you go away, you-you have to play, it's like a law! (sadness)",Answer,Statement Opinion
Allll done! (neutral),Statement Non Opinion,Statement Non Opinion
"Aww, thank you. (joy)",Greeting,Acknowledge
"Okay, who's next?! (neutral)",Question,Question
No-o-o! No way! (disgust),Disagreement,Disagreement
"Come on, please?! I'm boredddd! You let me do it once before. (neutral)",Statement Non Opinion,Command
"Yeah well, if ah, if that's the rule this weekend... No! (joy)",Agreement,Disagreement
It's beautiful! It's like the first bathroom floor there ever was. Whoa! Are you going in there for? (surprise),Question,Statement Opinion
"What, like a number? (neutral)",Question,Question
Hey! (joy),Greeting,Greeting
Hi! Bye! (neutral),Greeting,Greeting
"Okay, I'm done with my choices, these are final. (neutral)",Statement Non Opinion,Statement Non Opinion
"Well, it's about time. (anger)",Statement Non Opinion,Statement Opinion
"Ooh, very official. (neutral)",Statement Non Opinion,Statement Opinion
"Oh, yeah, well y'know Chandler printed it up on his computer. (neutral)",Statement Non Opinion,Statement Non Opinion
And who laminated it? (neutral),Question,Question
That would be me. (neutral),Answer,Statement Non Opinion
"All right let me see. Uma Thurman, Winona Ryder, Elizabeth Hurely, Michelle Pfieffer, and Dorothy Hammel? (neutral)",Statement Non Opinion,Question
"Hey, it's my list. (anger)",Statement Non Opinion,Statement Opinion
"Okay honey, you do realize she only spins like that on ice. (neutral)",Statement Opinion,Statement Opinion
"Okay, Phoebe, this Dr. Oberman. He has no strong feelings about Fonzie or any of the (neutral)",Statement Non Opinion,Statement Non Opinion
Hi! And you're going into what grade? (surprise),Question,Greeting
"Umm, I'm actually a first year resident, but I get that a lot, you see, I-I graduated early (joy)",Answer,Answer
"Uh-huh, me too. Ross, maybe I should've specified that I'd be needing a grown up doctor. (joy)",Statement Opinion,Statement Opinion
"Oh no, I'm fully qualified to (joy)",Statement Non Opinion,Statement Non Opinion
Shh! (anger),Backchannel,Command
"Doogie, shh! (anger)",Others,Command
Doesn't anybody understand that I'm gonna be having babies soon? (surprise),Question,Question
Huh? (surprise),Others,Question
Go! (anger),Command,Command
"Go little boy, go! (anger)",Command,Command
Oh cool! You made him cry! (joy),Statement Non Opinion,Statement Opinion
"Hey, there's uh, some people outside, askin' about candy. (neutral)",Statement Non Opinion,Greeting
"Well, they're just gonna have to wait aren't they? I've only got two hands!! (anger)",Statement Non Opinion,Statement Opinion
Need some help? (neutral),Question,Question
No! You don't know the system! There'll be nobody messing with the system! (anger),Answer,Disagreement
Your license please. (neutral),Others,Command
You don't-you don't want to hear about my dream Officer...Pretty? (neutral),Question,Question
It's Petty. I'll be right back with your ticket. (neutral),Answer,Statement Non Opinion
You have a son! (surprise),Statement Non Opinion,Statement Opinion
I know. I know. (neutral),Acknowledge,Acknowledge
"Uh, like, could these margaritas (neutral)",Question,Question
"Hello, Mr. Bing. (neutral)",Greeting,Greeting
Loved your Stevie Wonder last night. (joy),Statement Non Opinion,Statement Opinion
"Thanks. Listen, about the weekly numbers, I'm gonna need them on my desk (neutral)",Statement Non Opinion,Command
Sure. (neutral),Agreement,Agreement
No problem. (neutral),Statement Opinion,Acknowledge
"You have to give 'em something, you know. (joy)",Statement Opinion,Statement Opinion
"Okay, now that was Gerston, Santos, and who's the guy with the moustache? (neutral)",Question,Question
Petrie. (neutral),Answer,Answer
"Petrie, right, right. Okay, some people gonna be working (neutral)",Agreement,Statement Non Opinion
....right? (anger),Others,Question
Right? (anger),Others,Question
"I mean it's pretty unbelievable y'know, I mean they just took off, took off without even looking back. (anger)",Statement Non Opinion,Statement Opinion
"Y'know I don't, I don't need them, huh, I've got you guys now as friends, you and Susan. (anger)",Statement Non Opinion,Statement Opinion
"Ah, Susan will be so pleased. (joy)",Agreement,Statement Opinion
"717? Where's 717? Hey, you've have more of these for Susan right? (surprise)",Question,Question
"No. But it's okay, I'll just put out pickles or something. (neutral)",Answer,Statement Non Opinion
"Ross, thank God. (joy)",Greeting,Acknowledge
"Pheebs? What, why are you whispering? (surprise)",Question,Question
I ate a bug. (disgust),Answer,Statement Non Opinion
"Hey Rach, the tampons here are only a penny. Let's stock up. (joy)",Statement Non Opinion,Statement Opinion
"Listen Ross, we ran out of gas, and we don't know where we are, so we can't get a tow truck. (fear)",Statement Non Opinion,Statement Non Opinion
"Oh, now you want a favour? (joy)",Question,Statement Opinion
"Yes, please. (neutral)",Answer,Acknowledge
"Well, oh, I'm sorry your car broke down Pheebs, but I'm a little too busy with some of my real friends right now, but please call to let me know you got home safely okay? (anger)",Question,Statement Opinion
"Phoebe, hang on a second. Here, take my car, go pick up your friends. (neutral)",Command,Command
"No, I'm not gonna pick them up. (anger)",Disagreement,Statement Non Opinion
"Listen, we both know you're gonna do it 'cause you're not a jerk. (neutral)",Statement Opinion,Statement Opinion
"So you can either sulk here for a half hour and then go pick them up, or save us both time and sulk in the car. (anger)",Statement Non Opinion,Command
"No, Rachel doesn't want me to.... (anger)",Disagreement,Statement Non Opinion
"Look, I-I-I am sorry that Rachel dumped you 'cause she fell in love with that Mark guy, and you are the innocent victim in all of this, but don't punish your friends for what Rachel did to you. (neutral)",Statement Opinion,Statement Opinion
"Yeah, you're right. (neutral)",Agreement,Agreement
"God, I feel so guilty about Ross. (sadness)",Apology,Statement Opinion
"Oh, I know. (sadness)",Agreement,Agreement
I kinda feel like it's my fault. (sadness),Statement Non Opinion,Statement Opinion
Kind of? If you just kept this to yourself none of this would've happened. (anger),Statement Non Opinion,Disagreement
"Well, I'm keeping so many things to myself these days, something was bound to slip out! (anger)",Statement Non Opinion,Statement Opinion
"Well, I think it's very brave what you said. (anger)",Statement Non Opinion,Statement Opinion
"All right, I can't sit here anymore. I have to walk places. (neutral)",Statement Non Opinion,Statement Non Opinion
"Pheebs, what are you doing with the coat? How about the whole animal rights thing? (anger)",Question,Question
"Well, I've been reading up and for your information, minks are not very nice. (anger)",Answer,Statement Opinion
"Okay, I admit it! (anger)",Acknowledge,Acknowledge
I love this coat! (joy),Statement Non Opinion,Statement Opinion
"Okay, I--it's the best thing I've ever had wrapped around me, including Phil Huntley! (joy)",Statement Opinion,Statement Opinion
Remember Phil Huntley? (neutral),Question,Question
He was fine! (joy),Answer,Statement Opinion
So your dad dropped by. He's a pleasant man! (joy),Statement Non Opinion,Statement Opinion
Oh no (fear),Backchannel,Acknowledge
I'd better go. (She goes and sits down in the (neutral),Statement Opinion,Statement Non Opinion
"Ross I'm so sorry. Okay. I-I will promise I will straighten this out with him tomorrow in person, or via e-mail. (sadness)",Apology,Apology
I don't care about your dad! I care about Mona! She was there and now she's totally freaked out! (anger),Statement Non Opinion,Disagreement
"Oh okay, I'll fix that to. What's her e-mail address? (neutral)",Question,Agreement
Rachel! (anger),Others,Command
"All right, I promise. I'll fix this. I swear. I'll-I'll-I'll-I'll talk to her. (fear)",Statement Non Opinion,Acknowledge
Okay! (anger),Agreement,Acknowledge
Okay. (neutral),Agreement,Acknowledge
Thank you! (anger),Others,Acknowledge
That's it?! (anger),Others,Question
You call that a fight? (surprise),Question,Question
Come on! (anger),Statement Non Opinion,Command
"""We were on a break!"" (anger)",Statement Non Opinion,Statement Non Opinion
"""No we weren't!"" (anger)",Statement Non Opinion,Statement Non Opinion
What happened to you two? (surprise),Question,Question
"Hi, could we get two burritos to go, please? (neutral)",Question,Question
I'm sorry. (neutral),Apology,Apology
"But not that sorry, 'cause you don't have to live with it. (neutral)",Statement Non Opinion,Statement Non Opinion
"Um, we have a reservation under the name Chandler Bing. (neutral)",Statement Non Opinion,Statement Non Opinion
"Oh-kay, we'll have a table for you in about 45 minutes. (neutral)",Acknowledge,Statement Non Opinion
Forty-five minutes? We have tickets to the (surprise),Statement Non Opinion,Statement Non Opinion
"I'm sorry. Christmas is a very busy time, sir. (neutral)",Apology,Apology
Is this because of the burrito thing? (sadness),Question,Question
You need to give him money. (neutral),Answer,Command
Give him money? It was a joke! (surprise),Question,Statement Opinion
