Utterance,Emotion,"No,DS_r1_emotion"
"Yeah. Either that, or you just turned him on and sent him off to a stripper. (neutral)",neutral,joy
I can't believe you came back. (surprise),surprise,surprised
Don't say anything. (joy),joy,neutral
"I don't wanna speak, I don't wanna think. (neutral)",neutral,joy
"I just want you to take me and kiss me and make love to me right here, right now. (joy)",joy,joy
Rachel! Rachel! (joy),joy,surprised
What? (neutral),neutral,neutral
You missed the exit! (surprise),surprise,surprised
"Oh, sorry. (neutral)",neutral,neutral
"My God, what were you thinking about? (surprise)",surprise,surprised
"Um, Barry. (neutral)",neutral,neutral
Awwwww (joy),joy,sadness
"I just--I thought you guys were doing it, I didn't know you were in love! (surprise)",surprise,surprised
Dude! (joy),joy,surprised
And hats off to Phoebe. Quite a competitor. And might I say your breasts are still showing. (joy),joy,neutral
God! (surprise),surprise,disgust
All right! So that's it! It's over! Everybody knows! (joy),joy,anger
"Well actually, Ross doesn't. (neutral)",neutral,neutral
"Yes, and we'd appreciate it if no one told him yet. (neutral)",neutral,neutral
Dear Mary-Angela. (neutral),neutral,neutral
Hi. (neutral),neutral,neutral
How?s it going. (neutral),neutral,neutral
This is the hardest letter I?ve ever had to write. (sadness),sadness,sadness
What the hell?s a matter with you? (disgust),disgust,anger
How do you think Joey?s going to react when he finds out that you blew off his sister with a letter? (anger),anger,anger
"Well, that?s the part where you tell him that I moved to France. When actually I?ll be in Cuba. (neutral)",neutral,fear
"All right, look, look, you?ve got to do this yourself, okay in person. (neutral)",neutral,anger
At least you know her name. (neutral),neutral,disgust
"You just go to the house and you ask for Mary-Angela, okay, when which ever one she is comes to the door, you take her for a walk, you let her down easy. (neutral)",neutral,neutral
What if Mary-Angela comes to the door and I ask for Mary-Angela? (fear),fear,fear
Where in Cuba? (sadness),sadness,disgust
Hey. (neutral),neutral,neutral
"You uh, you may have been right about Jill. (sadness)",sadness,fear
Oh! I knew it! What happened? (surprise),surprise,joy
"Umm, she kissed me. (sadness)",sadness,fear
What?! You kissed! (surprise),surprise,surprised
All right. (neutral),neutral,neutral
"Okay, here you go. I have two queens, what do you have? (neutral)",neutral,neutral
A two and a five. (neutral),neutral,neutral
"Ho-ho, you win! 50 dollars! (joy)",joy,joy
Really?! (surprise),surprise,surprised
"Oh yeah! Okay, let's play again. What do you got? (neutral)",neutral,joy
A four and a nine. (neutral),neutral,neutral
You're kidding right? (surprise),surprise,surprised
No. Why? (neutral),neutral,neutral
Well that's a full cup! (surprise),surprise,surprised
Damn! I am good at Cups! (joy),joy,joy
What? Why? Where are you? (surprise),surprise,surprised
I'm still on the set! (neutral),neutral,neutral
Joey! The wedding is in less than an hour! (anger),anger,anger
"I know! I'm sorry! The guy's drunk, they won't let me go until we get this. (sadness)",sadness,sadness
Oh my God! I'm gonna have to find another minister. (sadness),sadness,fear
"No! No, I'm the minister! Alright, look-look, put 'em both on the phone, I'll marry them right now. (anger)",anger,anger
"Ugh! Joey, I have to go. (sadness)",sadness,disgust
Hey! Don't you hang up on me! I'll marry you and me right now! I have the power! (anger),anger,surprised
Oh hey Joey! What's up? (joy),joy,joy
"I can't decide which route to take to Vegas. Hey, you've traveled a lot right? (neutral)",neutral,neutral
"Yeah, I've been around. (neutral)",neutral,neutral
"Okay, so-so which route should I take the northern route or the southern route? (neutral)",neutral,neutral
"Ooh, if you take the northern route there's a man in Illinois with a beard of bees. (neutral)",neutral,surprised
Great! Problem solved! (joy),joy,joy
"Estelle, you gotta get me some work. I-I lost my health insurance. (sadness)",sadness,fear
"All right, first thing we gotta do, damage control. (neutral)",neutral,neutral
Why? (surprise),surprise,neutral
"Well, I think uhh, someone out there may have been bad mouthing you all over town. (sadness)",sadness,neutral
Bastard! (anger),anger,anger
You mean whenever Monica and Chandler where like y'know doing laundry or going grocery shopping or--Oh! (surprise),surprise,surprised
All that time Monica spent on the phone with sad Linda from camp! (surprise),surprise,neutral
"Uh-huh, doing it. Doing it. Phone doing it. (joy)",joy,joy
"Oh, I can't believe it! (surprise)",surprise,surprised
I mean I think it's great! (joy),joy,joy
For him. (neutral),neutral,disgust
She might be able to do better. (neutral),neutral,disgust
Hey guys! (neutral),neutral,joy
Joey! Come here! Come here! (neutral),neutral,joy
Phoebe just found out about Monica and Chandler. (neutral),neutral,neutral
You mean how they're friends and nothing more? (neutral),neutral,neutral
"No. Joey, she (neutral)",neutral,neutral
"Okay, so now they know that you know and they don't know that Rachel knows? (surprise)",surprise,neutral
"Yes, but y'know what? (neutral)",neutral,neutral
It doesn't matter who knows what. (neutral),neutral,neutral
"Now, enough of us know that we can just tell them that we know! (neutral)",neutral,joy
Then all the lying and the secrets would finally be over! (joy),joy,joy
"It's a tradition, like the parade. If the parade decided it was gay, moved out, and abandoned its entire family. (neutral)",neutral,neutral
"Y'know, you're friend's getting married, it's gotta change things. (neutral)",neutral,neutral
You really think it would be that different? (surprise),surprise,fear
How could it not be? (surprise),surprise,neutral
"I mean pretty soon they're gonna be having kids, and then they're just gonna be hanging out with other couples who have kids. (sadness)",sadness,neutral
And then maybe they're gonna have to leave the city to be near a (sadness),sadness,neutral
"Well, things change. (neutral)",neutral,neutral
I don't want them to move to a (sadness),sadness,fear
It'll be okay Joe. (neutral),neutral,joy
Its still there! (surprise),surprise,surprised
Mrs. Braverman must be out. (neutral),neutral,neutral
She could be out of town. Maybe she'll be gone for months. (sadness),sadness,neutral
"By then, the cheesecake may have gone bad. We don't want her to come back to bad cheesecake. (fear)",fear,neutral
No that could kill her. (fear),fear,fear
"Well, we don't want that. (neutral)",neutral,neutral
"No, so we're protecting her. (neutral)",neutral,neutral
But we should take it. (neutral),neutral,neutral
But we should move quick. (fear),fear,fear
Why? (surprise),surprise,neutral
Because I think I just heard her moving around in there. (fear),fear,fear
Go! Go! Go! Go! Go! Go! Go! Go! Go! Go! (fear),fear,fear
"Hey, Kicky. What're you doing? (neutral)",neutral,neutral
Just trying to get comfortable. I can't sleep in my underwear. (neutral),neutral,neutral
"Well, you're gonna. (neutral)",neutral,neutral
"I've been thinking. Y'know, about how I'm always seeing girls on top of girls... (neutral)",neutral,neutral
"Are they end to end, or tall like pancakes? (neutral)",neutral,joy
"Y'know what I mean, about how I'm always going out with all these women. (neutral)",neutral,neutral
"And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know? (sadness)",sadness,neutral
"Now I'm looking at my dad, thinking... (neutral)",neutral,sadness
"Hey, you're not him. (neutral)",neutral,neutral
You're you. (neutral),neutral,neutral
"When they were all over you to go into your father's pipe-fitting business, did you cave? (neutral)",neutral,neutral
No. (neutral),neutral,neutral
No. (neutral),neutral,neutral
You decided to go into the out-of-work actor business. (neutral),neutral,joy
"Now that wasn't easy, but you did it! (neutral)",neutral,joy
"And I'd like to believe that when the right woman comes along, you will have the courage and the guts to say ""No thanks, I'm married."" (neutral)",neutral,joy
You really think so? (joy),joy,neutral
Yeah. I really do. (neutral),neutral,neutral
"Thanks, Chandler. (neutral)",neutral,joy
Get off! (anger),anger,neutral
Hi. (neutral),neutral,neutral
"Your Fettuccini Alfredo looks a little dry, did you use all your cheese? (neutral)",neutral,neutral
"When you say used, do you mean eat as a pre-cooking snack? (neutral)",neutral,neutral
And the cream? (neutral),neutral,neutral
Cheese makes me thirsty. (neutral),neutral,neutral
Okay. Let's move on. (neutral),neutral,neutral
All right. (neutral),neutral,neutral
Oh! Something smells good over at Monica's station! Oh my God! This is absolutely amazing! You've never made this before? (surprise),surprise,surprised
Oh no! (surprise),surprise,fear
I don't know anything about cooking. (neutral),neutral,neutral
"I had to ask someone what it's called when the, when the water makes those little bubbles. (neutral)",neutral,neutral
"Well, hats off to the chef. (joy)",joy,joy
"I-I-I'm sorry, your-your mouth was full, I didn't hear what you said. Umm, hats off to who now? (neutral)",neutral,fear
The chef! (joy),joy,joy
That's right. (joy),joy,neutral
"Hey, Pheebs. (neutral)",neutral,neutral
Hey. (neutral),neutral,neutral
How's it going? (neutral),neutral,neutral
Good. Oh oh! Roger's having a dinner thing and he wanted me to invite you guys. (joy),joy,joy
So what's going on? (neutral),neutral,neutral
"Nothing, um, it's just, um... It's Roger. (neutral)",neutral,fear
"I dunno, there's just something about... (neutral)",neutral,fear
Basically we just feel that he's... (neutral),neutral,fear
We hate that guy. (disgust),disgust,disgust
Yeah. Hate him. (disgust),disgust,disgust
"We're sorry, Pheebs, we're sorry. (sadness)",sadness,sadness
Uh-huh. (neutral),neutral,neutral
Okay. (neutral),neutral,neutral
"Okay, don't you think, maybe, though, it's just that he's so perceptive that it freaks you out? (neutral)",neutral,surprised
"...No, we hate him. (disgust)",disgust,disgust
We're sorry. (sadness),sadness,sadness
Hey! (joy),joy,neutral
Hey! (joy),joy,neutral
What are you doing? (neutral),neutral,neutral
I'm sending back all this stuff that Chandler bought out of guilt. (neutral),neutral,neutral
Yes that was mine. (fear),fear,neutral
Cause I figured you'd hooked up with some girl and she'd left it there. (neutral),neutral,neutral
Yes that would have made more sense. (sadness),sadness,neutral
"Y'know, I-I don't even feel like I know you anymore man! (anger)",anger,surprised
"All right, look, I'm just gonna ask you this one time. (neutral)",neutral,neutral
"And whatever you say, I'll believe ya. (neutral)",neutral,neutral
"Were you, or were you not on a gay cruise? (anger)",anger,fear
"Oh hey! There's some kids playing in the street, you wanna go down there and give them a project, ruin their day? (anger)",anger,joy
"Hey, if they have a ball maybe you can stick razor blades in it and teach them a new game, Gonna Need Stitches Ball. (neutral)",neutral,joy
She said what? (surprise),surprise,surprised
"She said, ""If I'm not gonna be happy getting married somewhere that we find in a day, well then we should just postpone it."" (neutral)",neutral,neutral
Postpone it? (joy),joy,surprised
"Emily, do you think Monica realises how much our parents spent on this wedding? (anger)",anger,anger
"Do you my sister's teeny-tiny little brain comprehends that people took time out of their lives to fly thousands of miles to be here, huh? (anger)",anger,anger
This isn't right. (neutral),neutral,anger
"I realize that people are going to be disappointed. But, I'm sure they'll come back when we can do it right. (sadness)",sadness,neutral
I can't ask people to do that? Would you ask people to do that? (anger),anger,anger
Don't you point your pants at me! (anger),anger,anger
We have no choice! (anger),anger,anger
"Anywhere that's half-decent would've be booked months ago, Ross don't you understand? (anger)",anger,anger
This is our wedding I'm talking about. (anger),anger,anger
The only thing I understand is postponing it is not an option. This is when we're getting married. (neutral),neutral,anger
So what are you saying? It's now or never? (anger),anger,anger
No. I'm saying it's now. (neutral),neutral,anger
Or? (anger),anger,anger
There's no 'or' in mind. What is wrong with these pants?!! (anger),anger,anger
It's not the pants. (anger),anger,anger
It's you that is backwards. (anger),anger,anger
